,season,day,timestamp_feed,description,event_type,parent_description,parent_event_type,type_feed,fragment,timestamp_rng,player_name,type_rng,s0,s1,offset
106,11,115,2021-03-07 19:01:05+00:00,Scratch Deleuze's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
107,11,115,2021-03-07 19:01:05+00:00,Cantus Hojo's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
108,11,115,2021-03-07 19:01:05+00:00,Augusta Chadwell's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
109,11,115,2021-03-07 19:01:05+00:00,Pitching Machine's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
110,11,115,2021-03-07 19:01:05+00:00,Kaz Fiasco's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
111,11,115,2021-03-07 19:01:05+00:00,Muse Scantron's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
112,11,115,2021-03-07 19:01:05+00:00,Farrell Seagull's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
113,11,115,2021-03-07 19:01:05+00:00,The Firefighters' pitching was boosted.,117,"Blessing Won: Tag Team Pitching, Firefighters",60,boost,-1,,,,-1,-1,-1
114,11,115,2021-03-07 19:01:05+00:00,Agan Harrison's pitching was boosted.,117,"Blessing Won: Tag Team Pitching, Firefighters",60,boost,-1,,,,-1,-1,-1
115,11,115,2021-03-07 19:01:05+00:00,Kennedy Rodgers' pitching was boosted.,117,"Blessing Won: Tag Team Pitching, Firefighters",60,boost,-1,,,,-1,-1,-1
116,11,115,2021-03-07 19:01:05+00:00,Caleb Alvarado's pitching was boosted.,117,"Blessing Won: Tag Team Pitching, Firefighters",60,boost,-1,,,,-1,-1,-1
117,11,115,2021-03-07 19:01:05+00:00,Rivers Rosa's pitching was boosted.,117,"Blessing Won: Tag Team Pitching, Firefighters",60,boost,-1,,,,-1,-1,-1
118,11,115,2021-03-07 19:01:05+00:00,Wesley Poole's pitching was boosted.,117,"Blessing Won: Tag Team Pitching, Firefighters",60,boost,-1,,,,-1,-1,-1
119,11,115,2021-03-07 19:01:05+00:00,The Crabs' pitching was boosted.,117,"Blessing Won: Tag Team Pitching, Firefighters",60,boost,-1,,,,-1,-1,-1
120,11,115,2021-03-07 19:01:05+00:00,Brock Forbes' pitching was boosted.,117,"Blessing Won: Tag Team Pitching, Firefighters",60,boost,-1,,,,-1,-1,-1
121,11,115,2021-03-07 19:01:05+00:00,Jacoby Podcast's pitching was boosted.,117,"Blessing Won: Tag Team Pitching, Firefighters",60,boost,-1,,,,-1,-1,-1
122,11,115,2021-03-07 19:01:05+00:00,Adalberto Tosser's pitching was boosted.,117,"Blessing Won: Tag Team Pitching, Firefighters",60,boost,-1,,,,-1,-1,-1
123,11,115,2021-03-07 19:01:05+00:00,Finn James' pitching was boosted.,117,"Blessing Won: Tag Team Pitching, Firefighters",60,boost,-1,,,,-1,-1,-1
124,11,115,2021-03-07 19:01:05+00:00,The Tacos' baserunning was boosted.,117,"Blessing Won: Wind Sprints, Tacos",60,boost,-1,,,,-1,-1,-1
125,11,115,2021-03-07 19:01:05+00:00,Halexandrey Walton's baserunning was boosted.,117,"Blessing Won: Wind Sprints, Tacos",60,boost,-1,,,,-1,-1,-1
126,11,115,2021-03-07 19:01:05+00:00,Mcdowell Mason's baserunning was boosted.,117,"Blessing Won: Wind Sprints, Tacos",60,boost,-1,,,,-1,-1,-1
127,11,115,2021-03-07 19:01:05+00:00,Valentine Games' baserunning was boosted.,117,"Blessing Won: Wind Sprints, Tacos",60,boost,-1,,,,-1,-1,-1
128,11,115,2021-03-07 19:01:05+00:00,Rat Mason's baserunning was boosted.,117,"Blessing Won: Wind Sprints, Tacos",60,boost,-1,,,,-1,-1,-1
